Adresas,security,floor,total_floor_num,rent_price,room_num,year_full,Papildoma įranga:,Papildomos patalpos:,house_type,area,general,heating,year,year_renovation,floors_from_top,top_floor,district,Internetas,Nauja elektros instaliacija,Kabelinė televizija,Uždaras kiemas,Virtuvė sujungta,Tualetas ir vonia atskirai,Aukštos lubos,Nauja kanalizacija,Šarvuotos durys,Kodinė laiptinės spyna,Signalizacija,Videokameros,Budintis sargas
https://www.aruodas.lt/butu-nuoma-vilniuje-kalnenuose-guriu-g-isnuomojamas-kokybiskai-ir-funkcionaliai-4-950957/,"Šarvuotos durys
Kodinė laiptinės spyna
Videokameros",2.0,3.0,650,3.0,2008,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Indaplovė
Dušo kabina
Vonia","Balkonas
Vieta automobiliui",Mūrinis,71.0,"Uždaras kiemas
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2008,,1.0,0,kalnenuose,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-mykolo-marcinkeviciaus-g-nuomuojamas-be-tarpininku-4-947091/,None,3.0,4.0,500,3.0,2000,,,Mūrinis,111.0,None,Centrinis,2000,,1.0,0,santariskese,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-jurgio-lebedzio-g-isnuomojamas-kokybiskai-ir-jaukiai-irengtas-4-947565/,None,4.0,5.0,390,1.0,2018,,,Mūrinis,23.0,None,Centrinis,2018,,1.0,0,siaures-miestelyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-olimpieciu-g-isnuomojamas-a-energinio-naudingumo-klases-4-764237/,"Šarvuotos durys
Kodinė laiptinės spyna
Videokameros",2.0,4.0,650,2.0,2017,"Skalbimo mašina
Šaldytuvas
Šildomos grindys
Viryklė
Indaplovė","Balkonas
Vieta automobiliui",Mūrinis,42.5,None,Centrinis kolektorinis,2017,,2.0,0,zirmunuose,,,,,,,,,1.0,1.0,,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-telsiu-g-nuomojamas-2-aukstu-butas-su-panoraminiu-4-940541/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna
Videokameros",3.0,4.0,580,2.0,2019,"Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Indaplovė
Dušo kabina
Vonia","Balkonas
Terasa
Vieta automobiliui
Drabužinė",Mūrinis,59.75,"Butas per kelis aukštus
Tualetas ir vonia atskirai
Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu","Centrinis kolektorinis, dujinis",2019,,1.0,0,naujininkuose,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-s-skapo-g-tiesiai-is-seimininku-nuomojamas-jaukus-4-930155/,Kodinė laiptinės spyna,2.0,3.0,570,2.0,1914,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Židinys
Plastikiniai vamzdžiai
Indaplovė
Dušo kabina","Balkonas
Vieta automobiliui",Mūrinis,52.0,"Atskiras įėjimas
Aukštos lubos
Nauja kanalizacija
Uždaras kiemas
Virtuvė sujungta su kambariu","Elektra, kietu kuru",1914,,1.0,0,senamiestyje,,,,1.0,1.0,,1.0,1.0,,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-a-juozapaviciaus-g-isnuomojamas-tvarkingas-butas-miesto-centre-4-950741/,Budintis sargas,3.0,10.0,600,2.0,2010,"Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Dušo kabina","Terasa
Vieta automobiliui",Monolitinis,60.0,Aukštos lubos,Centrinis,2010,,7.0,0,snipiskese,,,,,,,1.0,,,,,,1.0
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-pienines-g-isnuomojamas-naujos-statybos-name-jaukus-4-947321/,None,1.0,5.0,480,2.0,2019,,,Mūrinis,35.0,None,Centrinis kolektorinis,2019,,4.0,0,zveryne,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-dainavos-g-tvarkingam-nuomininkui-isnuomoju-jauku-2-4-943865/,None,1.0,5.0,650,2.0,2019,,,Mūrinis,37.0,None,Centrinis kolektorinis,2019,,4.0,0,senamiestyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-darbininku-g-isnuomojamas-ekonomiskasmodernuspilnai-4-950523/,"Šarvuotos durys
Kodinė laiptinės spyna",3.0,4.0,250,1.0,"1970 statyba, 2017 renovacija","Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Dušo kabina",Vieta automobiliui,Mūrinis,18.0,"Nauja kanalizacija
Nauja elektros instaliacija
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,1970,2017.0,1.0,0,naujininkuose,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,
